,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Media Column Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Media Column URL
64,Parks and Recreation Commission and Urban Forestry Board,1/9/2019,,7:00 PM,Senior Center - 266 Escuela Avenue,Meeting details,Agenda,Not available,Not available,,,View.ashx?M=IC&ID=670654&GUID=920360BF-FE56-41BB-9E28-6E98FA9654EB,,,MeetingDetail.aspx?ID=670654&GUID=920360BF-FE56-41BB-9E28-6E98FA9654EB&Options=info&Search=,View.ashx?M=A&ID=670654&GUID=920360BF-FE56-41BB-9E28-6E98FA9654EB,,
65,City Council,1/8/2019,,6:30 PM,"Council Chambers - 500 Castro St., Mountain View, CA 94041",Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=649367&GUID=6E32BAC5-F48C-4C2E-90C6-40A8BDF6BF25,,,MeetingDetail.aspx?ID=649367&GUID=6E32BAC5-F48C-4C2E-90C6-40A8BDF6BF25&Options=info&Search=,View.ashx?M=A&ID=649367&GUID=6E32BAC5-F48C-4C2E-90C6-40A8BDF6BF25,View.ashx?M=M&ID=649367&GUID=6E32BAC5-F48C-4C2E-90C6-40A8BDF6BF25,#
66,Human Relations Commission,1/3/2019,,6:30 PM,Plaza Conference Room,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=651849&GUID=AB517B59-C10F-4168-9AB3-318C31318D60,,,MeetingDetail.aspx?ID=651849&GUID=AB517B59-C10F-4168-9AB3-318C31318D60&Options=info&Search=,View.ashx?M=A&ID=651849&GUID=AB517B59-C10F-4168-9AB3-318C31318D60,View.ashx?M=M&ID=651849&GUID=AB517B59-C10F-4168-9AB3-318C31318D60,#
67,City Council,1/3/2019,,4:00 PM,Atrium Conference Room and Council ChambersSpecial Meeting,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=655829&GUID=8F207087-7113-42AB-A21D-344A258F4820,,,MeetingDetail.aspx?ID=655829&GUID=8F207087-7113-42AB-A21D-344A258F4820&Options=info&Search=,View.ashx?M=A&ID=655829&GUID=8F207087-7113-42AB-A21D-344A258F4820,View.ashx?M=M&ID=655829&GUID=8F207087-7113-42AB-A21D-344A258F4820,#
68,Library Board,12/17/2018,,7:00 PM,2nd Floor Program Room,Meeting details,Not available,Minutes,Not available,,,View.ashx?M=IC&ID=657573&GUID=8D4DFBAC-F2F4-4C81-8E76-F58F8EED3DC2,,,MeetingDetail.aspx?ID=657573&GUID=8D4DFBAC-F2F4-4C81-8E76-F58F8EED3DC2&Options=info&Search=,,View.ashx?M=M&ID=657573&GUID=8D4DFBAC-F2F4-4C81-8E76-F58F8EED3DC2,
69,Parks and Recreation Commission and Urban Forestry Board,12/12/2018,,7:00 PM,Senior Center - 266 Escuela Avenue,Meeting details,Agenda,Not available,Not available,,,View.ashx?M=IC&ID=656693&GUID=24385DD7-DC39-4727-9655-32841262DBAC,,,MeetingDetail.aspx?ID=656693&GUID=24385DD7-DC39-4727-9655-32841262DBAC&Options=info&Search=,View.ashx?M=A&ID=656693&GUID=24385DD7-DC39-4727-9655-32841262DBAC,,
70,City Council,12/11/2018,,6:30 PM,"Council Chambers - 500 Castro St., Mountain ViewSPECIAL MEETING OF THE SHORELINE REGIONAL PARK COMMUNITY",Meeting details,Not available,Minutes,Not available,,,View.ashx?M=IC&ID=671199&GUID=20479D2F-34CB-4200-9BDF-376D1B80FD9B,,,,,View.ashx?M=M&ID=671199&GUID=20479D2F-34CB-4200-9BDF-376D1B80FD9B,
71,City Council,12/11/2018,,5:00 PM,Council Chambers - 500 Castro St.JOINT MEETING OF THE CITY COUNCIL (REGULAR) AND SHORELINE REGIONAL PARK COMMUNITY (SPECIAL),Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=606590&GUID=087910F0-45F2-485A-AFC4-6CCE32A016EB,,,MeetingDetail.aspx?ID=606590&GUID=087910F0-45F2-485A-AFC4-6CCE32A016EB&Options=info&Search=,View.ashx?M=A&ID=606590&GUID=087910F0-45F2-485A-AFC4-6CCE32A016EB,View.ashx?M=M&ID=606590&GUID=087910F0-45F2-485A-AFC4-6CCE32A016EB,#
72,Rental Housing Committee,12/10/2018,,7:00 PM,Council Chambers - 500 Castro St.,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=609516&GUID=C98CD1E4-2F7C-42CD-86B7-CDFE2E2E8917,,,MeetingDetail.aspx?ID=609516&GUID=C98CD1E4-2F7C-42CD-86B7-CDFE2E2E8917&Options=info&Search=,View.ashx?M=A&ID=609516&GUID=C98CD1E4-2F7C-42CD-86B7-CDFE2E2E8917,View.ashx?M=M&ID=609516&GUID=C98CD1E4-2F7C-42CD-86B7-CDFE2E2E8917,#
73,Human Relations Commission,12/6/2018,,6:30 PM,MEETING CANCELED,Meeting details,Agenda,Not available,Not available,,,View.ashx?M=IC&ID=611898&GUID=E8B1CA9B-CB0F-496F-A2E4-FAA9FCA9E5F0,,,MeetingDetail.aspx?ID=611898&GUID=E8B1CA9B-CB0F-496F-A2E4-FAA9FCA9E5F0&Options=info&Search=,View.ashx?M=A&ID=611898&GUID=E8B1CA9B-CB0F-496F-A2E4-FAA9FCA9E5F0,,
