subdomains,type,name,state,country
uptexas.legistar.com,municipality,University Park,TX,United States
valdez.legistar.com,municipality,Valdez,AK,United States
venice.legistar.com,municipality,Venice,FL,United States
vicksburg-ms.legistar.com,municipality,Vicksburg,MS,United States
vienna-va.legistar.com,municipality,Vienna,VA,United States
villageoftequesta.legistar.com,municipality,Tequesta,FL,United States
wake.legistar.com,county,Wake,NC,United States
washoe-nv.legistar.com,county,Washoe,NV,United States
watsonville.legistar.com,municipality,Watsonville,CA,United States
waukesha.legistar.com,municipality,Waukesha,WI,United States
wellington.legistar.com,municipality,Wellington,FL,United States
westalliswi.legistar.com,municipality,Westallis,WI,United States
whatcom.legistar.com,municipality,Whatcom,WA,United States
windhamweb.legistar.com,municipality,Windham,ME,United States
winston-salem.legistar.com,municipality,Winston-Salem,NC,United States
yuma-az.legistar.com,municipality,Yuma,AZ,United States
